Codigo,Descripcion,Familia,Stock
V174205503,ALPHA ONLY ONE WEEK MENU 3 KG.,ALPHA SPIRIT,9
V174206512,ALPHA ONLY AVES DE CORRAL 12 KG.,ALPHA SPIRIT,13
V184023,FLEXI NEW CORDON S NEGRO 5 m.,FLEXI,10
V18CL10T5251P,FLEXI NEW CINTA S  ROSA 5 m,FLEXI,33
V18CL11T5NEOG,FLEXI NEON CINTA VERDE T-S 5 m.,FLEXI,10
V18CL11T5NEOP,FLEXI NEON CINTA ROSA T-S 5 m.,FLEXI,31
V18STNZB551HGR,MULTI BOX GRIS (porta bolsitas),FLEXI,10
V21019330077,CABEZADA CUADRA NYLON PONY MELOC,ZALDI,2
V21024031101,CINCHA RECTA NYLON NEGRO 110 CM.,ZALDI,1
V21062536504,MANTA IMPERM. Perro VERDE 65 CM,ZALDI,1
V21122070000,MOSQUERO REDECILLA CON OREJERAS,ZALDI,1
V25150601,CHAMPU DERMOSEL 250Ml  seborrea,ARTICULOS VP,15
V2630534,KIKI MAX MENU EXOTICOS 500 GR(6),KIKI,49
V2630703,KIKI COCKTEL FRUTA LORO BO 300(6,KIKI,30
V270467374,NIDO MADERA PERIQUITOS,PAJAROS,25
V2910100,PONEDERO 3 DPTOS.CON CUBETA,GAUN,1
V2911285,TOLVA ROOSTER 10 KG.,GAUN,1
V2911900,FLOTADOR MODELO C- HORIZONTAL,GAUN,10
V2912032,BEBEDERO CHAPA AVES 8 L.,GAUN,2
V2930135,COMEDERO PALOMOS 2 HUECOS,GAUN,4
V2930330,- COMEDERO BEBEDE CUADR HORMIGO,GAUN,2
V2930580,TOLVA COMEDERO PERROS SUPERCAN,GAUN,6
V2960630,FORRAJERA INDIVIDUAL OVEJAS DEMO,GAUN,1
V3092671,BOZAL ZEUS ALPHA T 1-XS,HAGEN,16
V31104560,PEDIGREE MARKIES 500 GR.(12),MARS,1
V31360578, CESAR MULTIP CLASIC 8*150 (3,MARS,6
V31448838,"TIRA DENTA MEDI SEMANAL 2,50(20)",MARS,7
V31449299-TIENDA,WHISKAS CORE SEL.CLASI JUNIOR,MARS,5
V33728950,SHAMBI PASTA CRIA AMARILLA 5 KG,DAPAC PREMIUM SHAMBI,11
V33NK06003,enc SHAMBI PERILLA 600 GR.,DAPAC PREMIUM SHAMBI,0
V33NK09003,SHAMBI CA¥AMONES 900 GR.,DAPAC PREMIUM SHAMBI,39
V4019275,CHURPI BARRA NATURAL 130 GR.,CHURPI,36
